task,topology_family,repeat,drift,feature_group,macro_f1,bal_acc,class_mae,adjacent_acc
scale,line,4,0.0,Complexity,0.8687081437118399,0.8715277777777778,0.17708333333333334,0.9618055555555556
scale,line,4,0.0,Operational,0.8431439809646943,0.8402777777777778,0.1840277777777778,0.9791666666666666
scale,line,4,0.0,All,0.9861029104030224,0.9861111111111112,0.013888888888888888,1.0
scale,line,4,0.2,Topological,0.9721000325839037,0.9722222222222223,0.027777777777777776,1.0
scale,line,4,0.2,Complexity,0.8226565642020319,0.8263888888888888,0.22916666666666666,0.9548611111111112
scale,line,4,0.2,Operational,0.6121879397669233,0.6076388888888888,0.4236111111111111,0.9791666666666666
scale,line,4,0.2,All,0.9859849050794814,0.9861111111111112,0.013888888888888888,1.0
scale,line,4,0.4,Topological,0.9580851063829786,0.9583333333333334,0.041666666666666664,1.0
scale,line,4,0.4,Complexity,0.7841749023461214,0.7881944444444445,0.2986111111111111,0.9340277777777778
scale,line,4,0.4,Operational,0.46335514956061763,0.4756944444444444,0.625,0.9131944444444444
scale,line,4,0.4,All,0.9824576111174049,0.9826388888888888,0.017361111111111112,1.0
scale,line,4,0.6,Topological,0.9294205818704921,0.9305555555555555,0.06944444444444445,1.0
scale,line,4,0.6,Complexity,0.6913464587877028,0.6944444444444443,0.46875,0.8854166666666666
scale,line,4,0.6,Operational,0.41139436524689216,0.4305555555555556,0.7465277777777778,0.8472222222222222
scale,line,4,0.6,All,0.9650274036740202,0.9652777777777778,0.034722222222222224,1.0
scale,line,4,0.8,Topological,0.9065267020522007,0.90625,0.09375,1.0
scale,line,4,0.8,Complexity,0.658264103919405,0.65625,0.5763888888888888,0.84375
scale,line,4,0.8,Operational,0.3789143130795667,0.40625,0.8993055555555556,0.7430555555555556
